Date;Period;T;U;WW
20.08.2014;Вечер;15;0.8;3.0
21.08.2014;Ночь;15;0.8;4.0
21.08.2014;Утро;15;0.8;4.0
21.08.2014;День;15;0.5;4.0
21.08.2014;Вечер;15;0.6;4.0
22.08.2014;Ночь;15;0.9;3.0
22.08.2014;Утро;15;0.8;3.0
22.08.2014;День;15;0.7;3.0
22.08.2014;Вечер;15;0.8;3.0
23.08.2014;Ночь;13;0.9;4.0
23.08.2014;Утро;13;0.7;4.0
23.08.2014;День;17;0.6;3.0
23.08.2014;Вечер;17;0.7;4.0
24.08.2014;Ночь;17;0.8;4.0
24.08.2014;Утро;13;0.9;4.0
24.08.2014;День;13;0.6;4.0
24.08.2014;Вечер;13;0.8;4.0
25.08.2014;Ночь;13;1.0;3.0
25.08.2014;Утро;13;0.9;3.0
25.08.2014;День;13;0.9;3.0
25.08.2014;Вечер;13;0.9;3.0
26.08.2014;Ночь;14;0.9;4.0
26.08.2014;Утро;14;0.9;3.0
26.08.2014;День;14;0.9;3.0
26.08.2014;Вечер;14;0.8;4.0
27.08.2014;Ночь;14;0.9;3.0
27.08.2014;Утро;14;0.9;2.0
27.08.2014;День;14;0.9;3.0
27.08.2014;Вечер;14;0.9;4.0
28.08.2014;Ночь;14;0.9;4.0
28.08.2014;Утро;14;0.8;4.0
28.08.2014;День;14;0.7;4.0
28.08.2014;Вечер;14;0.8;4.0
29.08.2014;Ночь;14;0.9;3.0
29.08.2014;Утро;14;0.9;3.0
29.08.2014;День;14;0.7;4.0
29.08.2014;Вечер;14;0.8;4.0
30.08.2014;Ночь;14;0.9;4.0
30.08.2014;Утро;14;0.7;4.0
30.08.2014;День;14;0.7;3.0
30.08.2014;Вечер;14;0.7;4.0
31.08.2014;Ночь;14;0.9;4.0
31.08.2014;Утро;14;0.8;4.0
31.08.2014;День;14;0.7;4.0
