Date;Period;T;U;WW
02.02.2015;День;-0.6;0.8;4
02.02.2015;Вечер;-2.6;0.8;4
03.02.2015;Ночь;-6.3;0.9;1
03.02.2015;Утро;-4.9;0.9;6
03.02.2015;День;-3;0.9;2
03.02.2015;Вечер;-3.8;0.9;2
04.02.2015;Ночь;-4.8;0.9;2
04.02.2015;Утро;-5;0.9;6
04.02.2015;День;-5;0.9;6
04.02.2015;Вечер;-5;0.9;2
05.02.2015;Ночь;-5.1;0.9;2
05.02.2015;Утро;-6;0.9;2
05.02.2015;День;-6;0.8;2
05.02.2015;Вечер;-7.4;0.8;2
06.02.2015;Ночь;-8.6;0.8;2
06.02.2015;Утро;-9.5;0.9;2
06.02.2015;День;-9.3;0.8;4
06.02.2015;Вечер;-8.6;0.8;2
07.02.2015;Ночь;-7.4;0.9;2
07.02.2015;Утро;-4.6;0.9;2
07.02.2015;День;-3.5;0.8;2
07.02.2015;Вечер;-6;0.8;5
08.02.2015;Ночь;-4.4;0.9;2
08.02.2015;Утро;-1.9;0.9;2
08.02.2015;День;-0.5;0.8;6
08.02.2015;Вечер;-2.4;0.8;2
09.02.2015;Ночь;-4.6;0.9;2
09.02.2015;Утро;-5.4;0.8;2
09.02.2015;День;-6;0.8;2
09.02.2015;Вечер;-8;0.8;2
10.02.2015;Ночь;-12.5;0.9;4
10.02.2015;Утро;-14;0.9;4
10.02.2015;День;-6.4;0.6;4
10.02.2015;Вечер;-6.2;0.6;2
11.02.2015;Ночь;-5.8;0.9;2
11.02.2015;Утро;-4.2;0.9;6
11.02.2015;День;-2;0.9;6
11.02.2015;Вечер;-0.8;0.9;6
12.02.2015;Ночь;-0.1;0.9;6
12.02.2015;Утро;-0.7;1;6
12.02.2015;День;0.2;0.9;6
12.02.2015;Вечер;-0.1;0.9;6
13.02.2015;Ночь;-0.7;0.8;2
13.02.2015;Утро;-0.4;0.8;6
13.02.2015;День;0.1;0.8;6
13.02.2015;Вечер;-0.4;0.8;6
14.02.2015;Ночь;-1.2;0.8;6
14.02.2015;Утро;-2.6;0.8;6
14.02.2015;День;-3;0.9;6
14.02.2015;Вечер;-3;0.9;6
15.02.2015;Ночь;-3;0.9;6
15.02.2015;Утро;-2.5;0.9;2
15.02.2015;День;-5.1;0.8;2
15.02.2015;Вечер;-6.6;0.7;2
16.02.2015;Ночь;-10.4;0.8;2
16.02.2015;Утро;-10.3;0.8;4
16.02.2015;День;-5.4;0.5;4
16.02.2015;Вечер;-8.4;0.5;4
17.02.2015;Ночь;-9.6;0.5;4
17.02.2015;Утро;-10;0.6;4
17.02.2015;День;-2.7;0.3;4
17.02.2015;Вечер;-8.1;0.5;4
18.02.2015;Ночь;-11.5;0.6;4
18.02.2015;Утро;-8.9;0.4;4
18.02.2015;День;-0.2;0.3;4
18.02.2015;Вечер;-3.5;0.9;2
19.02.2015;Ночь;-3.5;0.9;2
19.02.2015;Утро;-2.6;0.9;6
19.02.2015;День;-1.3;0.8;6
19.02.2015;Вечер;-1.9;0.8;4
20.02.2015;Ночь;-1;0.8;6
20.02.2015;Утро;0.6;0.9;6
20.02.2015;День;2;0.9;6
20.02.2015;Вечер;1.8;0.9;6
21.02.2015;Ночь;0.3;0.9;6
21.02.2015;Утро;-0.1;0.9;1
21.02.2015;День;2.1;0.8;6
21.02.2015;Вечер;1.7;0.8;1
22.02.2015;Ночь;1.3;0.9;2
22.02.2015;Утро;1.4;0.9;6
22.02.2015;День;2.5;0.7;4
22.02.2015;Вечер;0.9;0.8;4
23.02.2015;Ночь;0;0.9;6
23.02.2015;Утро;1;0.9;6
23.02.2015;День;2;0.9;6
23.02.2015;Вечер;2;0.9;6
24.02.2015;Ночь;1.6;0.9;6
24.02.2015;Утро;2.1;0.8;6
24.02.2015;День;4.9;0.6;4
24.02.2015;Вечер;2.1;0.7;4
25.02.2015;Ночь;-0.4;0.8;4
25.02.2015;Утро;-0.4;0.8;4
25.02.2015;День;3.3;0.6;4
25.02.2015;Вечер;1.4;0.7;4
26.02.2015;Ночь;0.5;0.6;4
26.02.2015;Утро;0.4;0.7;4
26.02.2015;День;3;0.6;4
26.02.2015;Вечер;0;0.8;4
27.02.2015;Ночь;-1;0.9;1
